Consultant,Date,Hours,Client,Project_x,Project_y,Hourly Rate,revenue
Michael Brown,2/4/2024,8,Innovate Ltd,Project 13,Project 13,55,440
Michael Brown,2/4/2024,8,Innovate Ltd,Project 13,Project 14,55,440
Emily Davis,2/4/2024,1,Global Systems,Project 19,Project 15,70,70
Emily Davis,2/4/2024,1,Global Systems,Project 19,Project 16,70,70
Emily Davis,2/4/2024,1,Global Systems,Project 19,Project 17,70,70
Emily Davis,2/4/2024,1,Global Systems,Project 19,Project 18,70,70
Emily Davis,2/4/2024,1,Global Systems,Project 19,Project 19,70,70
Daniel Wilson,2/4/2024,5,Global Systems,Project 16,Project 15,70,350
Daniel Wilson,2/4/2024,5,Global Systems,Project 16,Project 16,70,350
Daniel Wilson,2/4/2024,5,Global Systems,Project 16,Project 17,70,350
Daniel Wilson,2/4/2024,5,Global Systems,Project 16,Project 18,70,350
Daniel Wilson,2/4/2024,5,Global Systems,Project 16,Project 19,70,350
Olivia Taylor,2/4/2024,4,NextGen Analytics,Project 21,Project 20,65,260
Olivia Taylor,2/4/2024,4,NextGen Analytics,Project 21,Project 21,65,260
Olivia Taylor,2/4/2024,4,NextGen Analytics,Project 21,Project 22,65,260
Olivia Taylor,2/4/2024,4,NextGen Analytics,Project 21,Project 23,65,260
Olivia Taylor,2/4/2024,4,NextGen Analytics,Project 21,Project 24,65,260
Olivia Taylor,2/4/2024,8,NextGen Analytics,Project 22,Project 20,65,520
Olivia Taylor,2/4/2024,8,NextGen Analytics,Project 22,Project 21,65,520
Olivia Taylor,2/4/2024,8,NextGen Analytics,Project 22,Project 22,65,520
Olivia Taylor,2/4/2024,8,NextGen Analytics,Project 22,Project 23,65,520
Olivia Taylor,2/4/2024,8,NextGen Analytics,Project 22,Project 24,65,520
Ava Harris,2/4/2024,1,Acme Corp,Project 1,Project 1,50,50
Ava Harris,2/4/2024,1,Acme Corp,Project 1,Project 2,50,50
Ava Harris,2/4/2024,1,Acme Corp,Project 1,Project 3,50,50
Ava Harris,2/4/2024,1,Acme Corp,Project 1,Project 4,50,50
Ava Harris,2/4/2024,1,Acme Corp,Project 1,Project 5,50,50
Ava Harris,2/4/2024,5,Acme Corp,Project 1,Project 1,50,250
Ava Harris,2/4/2024,5,Acme Corp,Project 1,Project 2,50,250
Ava Harris,2/4/2024,5,Acme Corp,Project 1,Project 3,50,250
Ava Harris,2/4/2024,5,Acme Corp,Project 1,Project 4,50,250
Ava Harris,2/4/2024,5,Acme Corp,Project 1,Project 5,50,250
Alexander White,2/4/2024,4,Global Systems,Project 18,Project 15,70,280
Alexander White,2/4/2024,4,Global Systems,Project 18,Project 16,70,280
Alexander White,2/4/2024,4,Global Systems,Project 18,Project 17,70,280
Alexander White,2/4/2024,4,Global Systems,Project 18,Project 18,70,280
Alexander White,2/4/2024,4,Global Systems,Project 18,Project 19,70,280
Mia Clark,2/4/2024,1,Innovate Ltd,Project 12,Project 11,55,55
Mia Clark,2/4/2024,1,Innovate Ltd,Project 12,Project 12,55,55
Mia Clark,2/4/2024,1,Innovate Ltd,Project 12,Project 13,55,55
Mia Clark,2/4/2024,1,Innovate Ltd,Project 12,Project 14,55,55
Henry Hall,2/4/2024,6,Acme Corp,Project 4,Project 1,50,300
Henry Hall,2/4/2024,6,Acme Corp,Project 4,Project 2,50,300
Henry Hall,2/4/2024,6,Acme Corp,Project 4,Project 3,50,300
Henry Hall,2/4/2024,6,Acme Corp,Project 4,Project 4,50,300
Henry Hall,2/4/2024,6,Acme Corp,Project 4,Project 5,50,300
Henry Hall,2/4/2024,4,Acme Corp,Project 1,Project 1,50,200
Henry Hall,2/4/2024,4,Acme Corp,Project 1,Project 2,50,200
Henry Hall,2/4/2024,4,Acme Corp,Project 1,Project 3,50,200
Henry Hall,2/4/2024,4,Acme Corp,Project 1,Project 4,50,200
Henry Hall,2/4/2024,4,Acme Corp,Project 1,Project 5,50,200
Henry Hall,2/4/2024,6,Acme Corp,Project 5,Project 1,50,300
Henry Hall,2/4/2024,6,Acme Corp,Project 5,Project 2,50,300
Henry Hall,2/4/2024,6,Acme Corp,Project 5,Project 3,50,300
Henry Hall,2/4/2024,6,Acme Corp,Project 5,Project 4,50,300
Henry Hall,2/4/2024,6,Acme Corp,Project 5,Project 5,50,300
Lucas Young,2/4/2024,2,Tech Solutions,Project 10,Project 6,60,120
Lucas Young,2/4/2024,2,Tech Solutions,Project 10,Project 7,60,120
Lucas Young,2/4/2024,2,Tech Solutions,Project 10,Project 8,60,120
Lucas Young,2/4/2024,2,Tech Solutions,Project 10,Project 9,60,120
Lucas Young,2/4/2024,2,Tech Solutions,Project 10,Project 10,60,120
Lucas Young,2/4/2024,1,Tech Solutions,Project 7,Project 6,60,60
Lucas Young,2/4/2024,1,Tech Solutions,Project 7,Project 7,60,60
Lucas Young,2/4/2024,1,Tech Solutions,Project 7,Project 8,60,60
Lucas Young,2/4/2024,1,Tech Solutions,Project 7,Project 9,60,60
Lucas Young,2/4/2024,1,Tech Solutions,Project 7,Project 10,60,60
Lucas Young,2/4/2024,7,Tech Solutions,Project 7,Project 6,60,420
Lucas Young,2/4/2024,7,Tech Solutions,Project 7,Project 7,60,420
Lucas Young,2/4/2024,7,Tech Solutions,Project 7,Project 8,60,420
Lucas Young,2/4/2024,7,Tech Solutions,Project 7,Project 9,60,420
Lucas Young,2/4/2024,7,Tech Solutions,Project 7,Project 10,60,420
Lucas Young,2/4/2024,2,Tech Solutions,Project 7,Project 6,60,120
Lucas Young,2/4/2024,2,Tech Solutions,Project 7,Project 7,60,120
Lucas Young,2/4/2024,2,Tech Solutions,Project 7,Project 8,60,120
Lucas Young,2/4/2024,2,Tech Solutions,Project 7,Project 9,60,120
Lucas Young,2/4/2024,2,Tech Solutions,Project 7,Project 10,60,120
Isabella King,2/4/2024,4,Global Systems,Project 18,Project 15,70,280
Isabella King,2/4/2024,4,Global Systems,Project 18,Project 16,70,280
Isabella King,2/4/2024,4,Global Systems,Project 18,Project 17,70,280
Isabella King,2/4/2024,4,Global Systems,Project 18,Project 18,70,280
Isabella King,2/4/2024,4,Global Systems,Project 18,Project 19,70,280
Isabella King,2/4/2024,4,Global Systems,Project 16,Project 15,70,280
Isabella King,2/4/2024,4,Global Systems,Project 16,Project 16,70,280
Isabella King,2/4/2024,4,Global Systems,Project 16,Project 17,70,280
Isabella King,2/4/2024,4,Global Systems,Project 16,Project 18,70,280
Isabella King,2/4/2024,4,Global Systems,Project 16,Project 19,70,280
Mason Scott,2/4/2024,4,NextGen Analytics,Project 21,Project 20,65,260
Mason Scott,2/4/2024,4,NextGen Analytics,Project 21,Project 21,65,260
Mason Scott,2/4/2024,4,NextGen Analytics,Project 21,Project 22,65,260
Mason Scott,2/4/2024,4,NextGen Analytics,Project 21,Project 23,65,260
Mason Scott,2/4/2024,4,NextGen Analytics,Project 21,Project 24,65,260
Mason Scott,2/4/2024,1,NextGen Analytics,Project 21,Project 20,65,65
Mason Scott,2/4/2024,1,NextGen Analytics,Project 21,Project 21,65,65
Mason Scott,2/4/2024,1,NextGen Analytics,Project 21,Project 22,65,65
Mason Scott,2/4/2024,1,NextGen Analytics,Project 21,Project 23,65,65
Mason Scott,2/4/2024,1,NextGen Analytics,Project 21,Project 24,65,65
Mason Scott,2/4/2024,6,NextGen Analytics,Project 23,Project 20,65,390
Mason Scott,2/4/2024,6,NextGen Analytics,Project 23,Project 21,65,390
Mason Scott,2/4/2024,6,NextGen Analytics,Project 23,Project 22,65,390
Mason Scott,2/4/2024,6,NextGen Analytics,Project 23,Project 23,65,390
Mason Scott,2/4/2024,6,NextGen Analytics,Project 23,Project 24,65,390
Ethan Baker,2/4/2024,1,Global Systems,Project 17,Project 15,70,70
Ethan Baker,2/4/2024,1,Global Systems,Project 17,Project 16,70,70
Ethan Baker,2/4/2024,1,Global Systems,Project 17,Project 17,70,70
Ethan Baker,2/4/2024,1,Global Systems,Project 17,Project 18,70,70
Ethan Baker,2/4/2024,1,Global Systems,Project 17,Project 19,70,70
Harper Adams,2/4/2024,7,NextGen Analytics,Project 22,Project 20,65,455
Harper Adams,2/4/2024,7,NextGen Analytics,Project 22,Project 21,65,455
Harper Adams,2/4/2024,7,NextGen Analytics,Project 22,Project 22,65,455
Harper Adams,2/4/2024,7,NextGen Analytics,Project 22,Project 23,65,455
Harper Adams,2/4/2024,7,NextGen Analytics,Project 22,Project 24,65,455
Harper Adams,2/4/2024,1,NextGen Analytics,Project 20,Project 20,65,65
Harper Adams,2/4/2024,1,NextGen Analytics,Project 20,Project 21,65,65
Harper Adams,2/4/2024,1,NextGen Analytics,Project 20,Project 22,65,65
Harper Adams,2/4/2024,1,NextGen Analytics,Project 20,Project 23,65,65
Harper Adams,2/4/2024,1,NextGen Analytics,Project 20,Project 24,65,65
Harper Adams,2/4/2024,8,NextGen Analytics,Project 24,Project 20,65,520
Harper Adams,2/4/2024,8,NextGen Analytics,Project 24,Project 21,65,520
Harper Adams,2/4/2024,8,NextGen Analytics,Project 24,Project 22,65,520
Harper Adams,2/4/2024,8,NextGen Analytics,Project 24,Project 23,65,520
Harper Adams,2/4/2024,8,NextGen Analytics,Project 24,Project 24,65,520
James Anderson,2/3/2024,1,Global Systems,Project 19,Project 15,70,70
James Anderson,2/3/2024,1,Global Systems,Project 19,Project 16,70,70
James Anderson,2/3/2024,1,Global Systems,Project 19,Project 17,70,70
James Anderson,2/3/2024,1,Global Systems,Project 19,Project 18,70,70
James Anderson,2/3/2024,1,Global Systems,Project 19,Project 19,70,70
Sophia Martinez,2/3/2024,6,Global Systems,Project 18,Project 15,70,420
Sophia Martinez,2/3/2024,6,Global Systems,Project 18,Project 16,70,420
Sophia Martinez,2/3/2024,6,Global Systems,Project 18,Project 17,70,420
Sophia Martinez,2/3/2024,6,Global Systems,Project 18,Project 18,70,420
Sophia Martinez,2/3/2024,6,Global Systems,Project 18,Project 19,70,420
Sophia Martinez,2/3/2024,8,Global Systems,Project 17,Project 15,70,560
Sophia Martinez,2/3/2024,8,Global Systems,Project 17,Project 16,70,560
Sophia Martinez,2/3/2024,8,Global Systems,Project 17,Project 17,70,560
Sophia Martinez,2/3/2024,8,Global Systems,Project 17,Project 18,70,560
Sophia Martinez,2/3/2024,8,Global Systems,Project 17,Project 19,70,560
Michael Brown,2/3/2024,5,Innovate Ltd,Project 12,Project 11,55,275
Michael Brown,2/3/2024,5,Innovate Ltd,Project 12,Project 12,55,275
Michael Brown,2/3/2024,5,Innovate Ltd,Project 12,Project 13,55,275
Michael Brown,2/3/2024,5,Innovate Ltd,Project 12,Project 14,55,275
Michael Brown,2/3/2024,2,Innovate Ltd,Project 12,Project 11,55,110
Michael Brown,2/3/2024,2,Innovate Ltd,Project 12,Project 12,55,110
Michael Brown,2/3/2024,2,Innovate Ltd,Project 12,Project 13,55,110
Michael Brown,2/3/2024,2,Innovate Ltd,Project 12,Project 14,55,110
Daniel Wilson,2/3/2024,7,Global Systems,Project 16,Project 15,70,490
Daniel Wilson,2/3/2024,7,Global Systems,Project 16,Project 16,70,490
Daniel Wilson,2/3/2024,7,Global Systems,Project 16,Project 17,70,490
Daniel Wilson,2/3/2024,7,Global Systems,Project 16,Project 18,70,490
Daniel Wilson,2/3/2024,7,Global Systems,Project 16,Project 19,70,490
Daniel Wilson,2/3/2024,4,Global Systems,Project 19,Project 15,70,280
Daniel Wilson,2/3/2024,4,Global Systems,Project 19,Project 16,70,280
Daniel Wilson,2/3/2024,4,Global Systems,Project 19,Project 17,70,280
Daniel Wilson,2/3/2024,4,Global Systems,Project 19,Project 18,70,280
Daniel Wilson,2/3/2024,4,Global Systems,Project 19,Project 19,70,280
Daniel Wilson,2/3/2024,2,Global Systems,Project 16,Project 15,70,140
Daniel Wilson,2/3/2024,2,Global Systems,Project 16,Project 16,70,140
Daniel Wilson,2/3/2024,2,Global Systems,Project 16,Project 17,70,140
Daniel Wilson,2/3/2024,2,Global Systems,Project 16,Project 18,70,140
Daniel Wilson,2/3/2024,2,Global Systems,Project 16,Project 19,70,140
Daniel Wilson,2/3/2024,7,Global Systems,Project 16,Project 15,70,490
Daniel Wilson,2/3/2024,7,Global Systems,Project 16,Project 16,70,490
Daniel Wilson,2/3/2024,7,Global Systems,Project 16,Project 17,70,490
Daniel Wilson,2/3/2024,7,Global Systems,Project 16,Project 18,70,490
Daniel Wilson,2/3/2024,7,Global Systems,Project 16,Project 19,70,490
Olivia Taylor,2/3/2024,7,NextGen Analytics,Project 21,Project 20,65,455
Olivia Taylor,2/3/2024,7,NextGen Analytics,Project 21,Project 21,65,455
Olivia Taylor,2/3/2024,7,NextGen Analytics,Project 21,Project 22,65,455
Olivia Taylor,2/3/2024,7,NextGen Analytics,Project 21,Project 23,65,455
Olivia Taylor,2/3/2024,7,NextGen Analytics,Project 21,Project 24,65,455
Olivia Taylor,2/3/2024,4,NextGen Analytics,Project 24,Project 20,65,260
Olivia Taylor,2/3/2024,4,NextGen Analytics,Project 24,Project 21,65,260
Olivia Taylor,2/3/2024,4,NextGen Analytics,Project 24,Project 22,65,260
Olivia Taylor,2/3/2024,4,NextGen Analytics,Project 24,Project 23,65,260
Olivia Taylor,2/3/2024,4,NextGen Analytics,Project 24,Project 24,65,260
William Thomas,2/3/2024,5,NextGen Analytics,Project 21,Project 20,65,325
William Thomas,2/3/2024,5,NextGen Analytics,Project 21,Project 21,65,325
William Thomas,2/3/2024,5,NextGen Analytics,Project 21,Project 22,65,325
William Thomas,2/3/2024,5,NextGen Analytics,Project 21,Project 23,65,325
William Thomas,2/3/2024,5,NextGen Analytics,Project 21,Project 24,65,325
William Thomas,2/3/2024,2,NextGen Analytics,Project 20,Project 20,65,130
William Thomas,2/3/2024,2,NextGen Analytics,Project 20,Project 21,65,130
William Thomas,2/3/2024,2,NextGen Analytics,Project 20,Project 22,65,130
William Thomas,2/3/2024,2,NextGen Analytics,Project 20,Project 23,65,130
William Thomas,2/3/2024,2,NextGen Analytics,Project 20,Project 24,65,130
Ava Harris,2/3/2024,6,Acme Corp,Project 3,Project 1,50,300
Ava Harris,2/3/2024,6,Acme Corp,Project 3,Project 2,50,300
Ava Harris,2/3/2024,6,Acme Corp,Project 3,Project 3,50,300
Ava Harris,2/3/2024,6,Acme Corp,Project 3,Project 4,50,300
Ava Harris,2/3/2024,6,Acme Corp,Project 3,Project 5,50,300
Alexander White,2/3/2024,3,Global Systems,Project 18,Project 15,70,210
Alexander White,2/3/2024,3,Global Systems,Project 18,Project 16,70,210
Alexander White,2/3/2024,3,Global Systems,Project 18,Project 17,70,210
Alexander White,2/3/2024,3,Global Systems,Project 18,Project 18,70,210
Alexander White,2/3/2024,3,Global Systems,Project 18,Project 19,70,210
Alexander White,2/3/2024,2,Global Systems,Project 16,Project 15,70,140
Alexander White,2/3/2024,2,Global Systems,Project 16,Project 16,70,140
Alexander White,2/3/2024,2,Global Systems,Project 16,Project 17,70,140
Alexander White,2/3/2024,2,Global Systems,Project 16,Project 18,70,140
Alexander White,2/3/2024,2,Global Systems,Project 16,Project 19,70,140
Mia Clark,2/3/2024,1,Innovate Ltd,Project 14,Project 11,55,55
Mia Clark,2/3/2024,1,Innovate Ltd,Project 14,Project 12,55,55
Mia Clark,2/3/2024,1,Innovate Ltd,Project 14,Project 13,55,55
Mia Clark,2/3/2024,1,Innovate Ltd,Project 14,Project 14,55,55
Benjamin Lewis,2/3/2024,4,NextGen Analytics,Project 24,Project 20,65,260
Benjamin Lewis,2/3/2024,4,NextGen Analytics,Project 24,Project 21,65,260
Benjamin Lewis,2/3/2024,4,NextGen Analytics,Project 24,Project 22,65,260
Benjamin Lewis,2/3/2024,4,NextGen Analytics,Project 24,Project 23,65,260
Benjamin Lewis,2/3/2024,4,NextGen Analytics,Project 24,Project 24,65,260
Benjamin Lewis,2/3/2024,7,NextGen Analytics,Project 23,Project 20,65,455
Benjamin Lewis,2/3/2024,7,NextGen Analytics,Project 23,Project 21,65,455
Benjamin Lewis,2/3/2024,7,NextGen Analytics,Project 23,Project 22,65,455
Benjamin Lewis,2/3/2024,7,NextGen Analytics,Project 23,Project 23,65,455
Benjamin Lewis,2/3/2024,7,NextGen Analytics,Project 23,Project 24,65,455
Charlotte Walker,2/3/2024,6,Acme Corp,Project 1,Project 1,50,300
Charlotte Walker,2/3/2024,6,Acme Corp,Project 1,Project 2,50,300
Charlotte Walker,2/3/2024,6,Acme Corp,Project 1,Project 3,50,300
Charlotte Walker,2/3/2024,6,Acme Corp,Project 1,Project 4,50,300
Charlotte Walker,2/3/2024,6,Acme Corp,Project 1,Project 5,50,300
Henry Hall,2/3/2024,8,Acme Corp,Project 4,Project 1,50,400
Henry Hall,2/3/2024,8,Acme Corp,Project 4,Project 2,50,400
Henry Hall,2/3/2024,8,Acme Corp,Project 4,Project 3,50,400
Henry Hall,2/3/2024,8,Acme Corp,Project 4,Project 4,50,400
Henry Hall,2/3/2024,8,Acme Corp,Project 4,Project 5,50,400
Henry Hall,2/3/2024,3,Acme Corp,Project 2,Project 1,50,150
Henry Hall,2/3/2024,3,Acme Corp,Project 2,Project 2,50,150
Henry Hall,2/3/2024,3,Acme Corp,Project 2,Project 3,50,150
Henry Hall,2/3/2024,3,Acme Corp,Project 2,Project 4,50,150
Henry Hall,2/3/2024,3,Acme Corp,Project 2,Project 5,50,150
Amelia Allen,2/3/2024,2,Innovate Ltd,Project 14,Project 11,55,110
Amelia Allen,2/3/2024,2,Innovate Ltd,Project 14,Project 12,55,110
Amelia Allen,2/3/2024,2,Innovate Ltd,Project 14,Project 13,55,110
Amelia Allen,2/3/2024,2,Innovate Ltd,Project 14,Project 14,55,110
Amelia Allen,2/3/2024,6,Innovate Ltd,Project 12,Project 11,55,330
Amelia Allen,2/3/2024,6,Innovate Ltd,Project 12,Project 12,55,330
Amelia Allen,2/3/2024,6,Innovate Ltd,Project 12,Project 13,55,330
Amelia Allen,2/3/2024,6,Innovate Ltd,Project 12,Project 14,55,330
Lucas Young,2/3/2024,4,Tech Solutions,Project 6,Project 6,60,240
Lucas Young,2/3/2024,4,Tech Solutions,Project 6,Project 7,60,240
Lucas Young,2/3/2024,4,Tech Solutions,Project 6,Project 8,60,240
Lucas Young,2/3/2024,4,Tech Solutions,Project 6,Project 9,60,240
Lucas Young,2/3/2024,4,Tech Solutions,Project 6,Project 10,60,240
Isabella King,2/3/2024,7,Global Systems,Project 17,Project 15,70,490
Isabella King,2/3/2024,7,Global Systems,Project 17,Project 16,70,490
Isabella King,2/3/2024,7,Global Systems,Project 17,Project 17,70,490
Isabella King,2/3/2024,7,Global Systems,Project 17,Project 18,70,490
Isabella King,2/3/2024,7,Global Systems,Project 17,Project 19,70,490
Isabella King,2/3/2024,1,Global Systems,Project 19,Project 15,70,70
Isabella King,2/3/2024,1,Global Systems,Project 19,Project 16,70,70
Isabella King,2/3/2024,1,Global Systems,Project 19,Project 17,70,70
Isabella King,2/3/2024,1,Global Systems,Project 19,Project 18,70,70
Isabella King,2/3/2024,1,Global Systems,Project 19,Project 19,70,70
Isabella King,2/3/2024,8,Global Systems,Project 15,Project 15,70,560
Isabella King,2/3/2024,8,Global Systems,Project 15,Project 16,70,560
Isabella King,2/3/2024,8,Global Systems,Project 15,Project 17,70,560
Isabella King,2/3/2024,8,Global Systems,Project 15,Project 18,70,560
Isabella King,2/3/2024,8,Global Systems,Project 15,Project 19,70,560
Mason Scott,2/3/2024,5,NextGen Analytics,Project 24,Project 20,65,325
Mason Scott,2/3/2024,5,NextGen Analytics,Project 24,Project 21,65,325
Mason Scott,2/3/2024,5,NextGen Analytics,Project 24,Project 22,65,325
Mason Scott,2/3/2024,5,NextGen Analytics,Project 24,Project 23,65,325
Mason Scott,2/3/2024,5,NextGen Analytics,Project 24,Project 24,65,325
Emma Green,2/3/2024,5,NextGen Analytics,Project 23,Project 20,65,325
Emma Green,2/3/2024,5,NextGen Analytics,Project 23,Project 21,65,325
Emma Green,2/3/2024,5,NextGen Analytics,Project 23,Project 22,65,325
Emma Green,2/3/2024,5,NextGen Analytics,Project 23,Project 23,65,325
Emma Green,2/3/2024,5,NextGen Analytics,Project 23,Project 24,65,325
Emma Green,2/3/2024,1,NextGen Analytics,Project 24,Project 20,65,65
Emma Green,2/3/2024,1,NextGen Analytics,Project 24,Project 21,65,65
Emma Green,2/3/2024,1,NextGen Analytics,Project 24,Project 22,65,65
Emma Green,2/3/2024,1,NextGen Analytics,Project 24,Project 23,65,65
Emma Green,2/3/2024,1,NextGen Analytics,Project 24,Project 24,65,65
Emma Green,2/3/2024,2,NextGen Analytics,Project 21,Project 20,65,130
Emma Green,2/3/2024,2,NextGen Analytics,Project 21,Project 21,65,130
Emma Green,2/3/2024,2,NextGen Analytics,Project 21,Project 22,65,130
Emma Green,2/3/2024,2,NextGen Analytics,Project 21,Project 23,65,130
Emma Green,2/3/2024,2,NextGen Analytics,Project 21,Project 24,65,130
Ethan Baker,2/3/2024,3,Global Systems,Project 16,Project 15,70,210
Ethan Baker,2/3/2024,3,Global Systems,Project 16,Project 16,70,210
Ethan Baker,2/3/2024,3,Global Systems,Project 16,Project 17,70,210
Ethan Baker,2/3/2024,3,Global Systems,Project 16,Project 18,70,210
Ethan Baker,2/3/2024,3,Global Systems,Project 16,Project 19,70,210
Ethan Baker,2/3/2024,1,Global Systems,Project 15,Project 15,70,70
Ethan Baker,2/3/2024,1,Global Systems,Project 15,Project 16,70,70
Ethan Baker,2/3/2024,1,Global Systems,Project 15,Project 17,70,70
Ethan Baker,2/3/2024,1,Global Systems,Project 15,Project 18,70,70
Ethan Baker,2/3/2024,1,Global Systems,Project 15,Project 19,70,70
Ethan Baker,2/3/2024,1,Global Systems,Project 19,Project 15,70,70
Ethan Baker,2/3/2024,1,Global Systems,Project 19,Project 16,70,70
Ethan Baker,2/3/2024,1,Global Systems,Project 19,Project 17,70,70
Ethan Baker,2/3/2024,1,Global Systems,Project 19,Project 18,70,70
Ethan Baker,2/3/2024,1,Global Systems,Project 19,Project 19,70,70
Ethan Baker,2/3/2024,6,Global Systems,Project 19,Project 15,70,420
Ethan Baker,2/3/2024,6,Global Systems,Project 19,Project 16,70,420
Ethan Baker,2/3/2024,6,Global Systems,Project 19,Project 17,70,420
Ethan Baker,2/3/2024,6,Global Systems,Project 19,Project 18,70,420
Ethan Baker,2/3/2024,6,Global Systems,Project 19,Project 19,70,420
Harper Adams,2/3/2024,6,NextGen Analytics,Project 22,Project 20,65,390
Harper Adams,2/3/2024,6,NextGen Analytics,Project 22,Project 21,65,390
Harper Adams,2/3/2024,6,NextGen Analytics,Project 22,Project 22,65,390
Harper Adams,2/3/2024,6,NextGen Analytics,Project 22,Project 23,65,390
Harper Adams,2/3/2024,6,NextGen Analytics,Project 22,Project 24,65,390
Harper Adams,2/3/2024,3,NextGen Analytics,Project 24,Project 20,65,195
Harper Adams,2/3/2024,3,NextGen Analytics,Project 24,Project 21,65,195
Harper Adams,2/3/2024,3,NextGen Analytics,Project 24,Project 22,65,195
Harper Adams,2/3/2024,3,NextGen Analytics,Project 24,Project 23,65,195
Harper Adams,2/3/2024,3,NextGen Analytics,Project 24,Project 24,65,195
Harper Adams,2/3/2024,8,NextGen Analytics,Project 24,Project 20,65,520
Harper Adams,2/3/2024,8,NextGen Analytics,Project 24,Project 21,65,520
Harper Adams,2/3/2024,8,NextGen Analytics,Project 24,Project 22,65,520
Harper Adams,2/3/2024,8,NextGen Analytics,Project 24,Project 23,65,520
Harper Adams,2/3/2024,8,NextGen Analytics,Project 24,Project 24,65,520
Harper Adams,2/3/2024,8,NextGen Analytics,Project 24,Project 20,65,520
Harper Adams,2/3/2024,8,NextGen Analytics,Project 24,Project 21,65,520
Harper Adams,2/3/2024,8,NextGen Analytics,Project 24,Project 22,65,520
Harper Adams,2/3/2024,8,NextGen Analytics,Project 24,Project 23,65,520
Harper Adams,2/3/2024,8,NextGen Analytics,Project 24,Project 24,65,520
James Anderson,2/2/2024,4,Global Systems,Project 16,Project 15,70,280
James Anderson,2/2/2024,4,Global Systems,Project 16,Project 16,70,280
James Anderson,2/2/2024,4,Global Systems,Project 16,Project 17,70,280
James Anderson,2/2/2024,4,Global Systems,Project 16,Project 18,70,280
James Anderson,2/2/2024,4,Global Systems,Project 16,Project 19,70,280
Michael Brown,2/2/2024,2,Innovate Ltd,Project 11,Project 11,55,110
Michael Brown,2/2/2024,2,Innovate Ltd,Project 11,Project 12,55,110
Michael Brown,2/2/2024,2,Innovate Ltd,Project 11,Project 13,55,110
Michael Brown,2/2/2024,2,Innovate Ltd,Project 11,Project 14,55,110
Michael Brown,2/2/2024,6,Innovate Ltd,Project 14,Project 11,55,330
Michael Brown,2/2/2024,6,Innovate Ltd,Project 14,Project 12,55,330
Michael Brown,2/2/2024,6,Innovate Ltd,Project 14,Project 13,55,330
Michael Brown,2/2/2024,6,Innovate Ltd,Project 14,Project 14,55,330
Emily Davis,2/2/2024,7,Global Systems,Project 17,Project 15,70,490
Emily Davis,2/2/2024,7,Global Systems,Project 17,Project 16,70,490
Emily Davis,2/2/2024,7,Global Systems,Project 17,Project 17,70,490
Emily Davis,2/2/2024,7,Global Systems,Project 17,Project 18,70,490
Emily Davis,2/2/2024,7,Global Systems,Project 17,Project 19,70,490
Emily Davis,2/2/2024,6,Global Systems,Project 16,Project 15,70,420
Emily Davis,2/2/2024,6,Global Systems,Project 16,Project 16,70,420
Emily Davis,2/2/2024,6,Global Systems,Project 16,Project 17,70,420
Emily Davis,2/2/2024,6,Global Systems,Project 16,Project 18,70,420
Emily Davis,2/2/2024,6,Global Systems,Project 16,Project 19,70,420
William Thomas,2/2/2024,8,NextGen Analytics,Project 23,Project 20,65,520
William Thomas,2/2/2024,8,NextGen Analytics,Project 23,Project 21,65,520
William Thomas,2/2/2024,8,NextGen Analytics,Project 23,Project 22,65,520
William Thomas,2/2/2024,8,NextGen Analytics,Project 23,Project 23,65,520
William Thomas,2/2/2024,8,NextGen Analytics,Project 23,Project 24,65,520
William Thomas,2/2/2024,2,NextGen Analytics,Project 22,Project 20,65,130
William Thomas,2/2/2024,2,NextGen Analytics,Project 22,Project 21,65,130
William Thomas,2/2/2024,2,NextGen Analytics,Project 22,Project 22,65,130
William Thomas,2/2/2024,2,NextGen Analytics,Project 22,Project 23,65,130
William Thomas,2/2/2024,2,NextGen Analytics,Project 22,Project 24,65,130
Ava Harris,2/2/2024,6,Acme Corp,Project 2,Project 1,50,300
Ava Harris,2/2/2024,6,Acme Corp,Project 2,Project 2,50,300
Ava Harris,2/2/2024,6,Acme Corp,Project 2,Project 3,50,300
Ava Harris,2/2/2024,6,Acme Corp,Project 2,Project 4,50,300
Ava Harris,2/2/2024,6,Acme Corp,Project 2,Project 5,50,300
Ava Harris,2/2/2024,4,Acme Corp,Project 4,Project 1,50,200
Ava Harris,2/2/2024,4,Acme Corp,Project 4,Project 2,50,200
Ava Harris,2/2/2024,4,Acme Corp,Project 4,Project 3,50,200
Ava Harris,2/2/2024,4,Acme Corp,Project 4,Project 4,50,200
Ava Harris,2/2/2024,4,Acme Corp,Project 4,Project 5,50,200
Alexander White,2/2/2024,8,Global Systems,Project 18,Project 15,70,560
Alexander White,2/2/2024,8,Global Systems,Project 18,Project 16,70,560
Alexander White,2/2/2024,8,Global Systems,Project 18,Project 17,70,560
Alexander White,2/2/2024,8,Global Systems,Project 18,Project 18,70,560
Alexander White,2/2/2024,8,Global Systems,Project 18,Project 19,70,560
Mia Clark,2/2/2024,1,Innovate Ltd,Project 12,Project 11,55,55
Mia Clark,2/2/2024,1,Innovate Ltd,Project 12,Project 12,55,55
Mia Clark,2/2/2024,1,Innovate Ltd,Project 12,Project 13,55,55
Mia Clark,2/2/2024,1,Innovate Ltd,Project 12,Project 14,55,55
Mia Clark,2/2/2024,8,Innovate Ltd,Project 11,Project 11,55,440
